Year,Municipality,Population,Mortality_per_1000,Infant_mortality_per_1000,Births_per_1000,Unemployed_total,Average_income,Pharmacies_total,Crime_type,Total_crimes,Marriages_per_1000,Divorces_per_1000
2006.0,Abrantes,40665.0,13.9,12.7,7.7,,911.0,15.0,,,3.5,1.9
2007.0,Abrantes,40403.0,13.5,6.0,8.2,,872.0,15.0,,,3.6,2.1
2008.0,Abrantes,40107.0,14.0,8.7,8.5,,872.2,15.0,,,2.6,2.6
2009.0,Abrantes,39810.0,13.1,0.0,7.2,2164.0,908.9,15.0,Contra As Pessoas,318.0,2.9,2.6
2009.0,Abrantes,39810.0,13.1,0.0,7.2,2164.0,908.9,15.0,Contra O Patrimonio,684.0,2.9,2.6
2009.0,Abrantes,39810.0,13.1,0.0,7.2,2164.0,908.9,15.0,Contra A Vida Em Sociedade,175.0,2.9,2.6
2009.0,Abrantes,39810.0,13.1,0.0,7.2,2164.0,908.9,15.0,Contra O Estado,15.0,2.9,2.6
2009.0,Abrantes,39810.0,13.1,0.0,7.2,2164.0,908.9,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.9,2.6
2009.0,Abrantes,39810.0,13.1,0.0,7.2,2164.0,908.9,15.0,Contra Animais Companhia,,2.9,2.6
2009.0,Abrantes,39810.0,13.1,0.0,7.2,2164.0,908.9,15.0,Legislacao Avulsa E Outros,159.0,2.9,2.6
2009.0,Abrantes,39810.0,13.1,0.0,7.2,2164.0,908.9,15.0,Total,1351.0,2.9,2.6
2010.0,Abrantes,39464.0,13.2,3.7,6.8,2160.0,968.5,15.0,Contra As Pessoas,301.0,2.6,1.9
2010.0,Abrantes,39464.0,13.2,3.7,6.8,2160.0,968.5,15.0,Contra O Patrimonio,738.0,2.6,1.9
2010.0,Abrantes,39464.0,13.2,3.7,6.8,2160.0,968.5,15.0,Contra A Vida Em Sociedade,116.0,2.6,1.9
2010.0,Abrantes,39464.0,13.2,3.7,6.8,2160.0,968.5,15.0,Contra O Estado,7.0,2.6,1.9
2010.0,Abrantes,39464.0,13.2,3.7,6.8,2160.0,968.5,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.6,1.9
2010.0,Abrantes,39464.0,13.2,3.7,6.8,2160.0,968.5,15.0,Contra Animais Companhia,,2.6,1.9
2010.0,Abrantes,39464.0,13.2,3.7,6.8,2160.0,968.5,15.0,Legislacao Avulsa E Outros,123.0,2.6,1.9
2010.0,Abrantes,39464.0,13.2,3.7,6.8,2160.0,968.5,15.0,Total,1285.0,2.6,1.9
2011.0,Abrantes,38856.0,14.3,4.3,5.9,2284.0,969.7,15.0,Contra As Pessoas,287.0,2.3,2.0
2011.0,Abrantes,38856.0,14.3,4.3,5.9,2284.0,969.7,15.0,Contra O Patrimonio,595.0,2.3,2.0
2011.0,Abrantes,38856.0,14.3,4.3,5.9,2284.0,969.7,15.0,Contra A Vida Em Sociedade,78.0,2.3,2.0
2011.0,Abrantes,38856.0,14.3,4.3,5.9,2284.0,969.7,15.0,Contra O Estado,4.0,2.3,2.0
2011.0,Abrantes,38856.0,14.3,4.3,5.9,2284.0,969.7,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.3,2.0
2011.0,Abrantes,38856.0,14.3,4.3,5.9,2284.0,969.7,15.0,Contra Animais Companhia,,2.3,2.0
2011.0,Abrantes,38856.0,14.3,4.3,5.9,2284.0,969.7,15.0,Legislacao Avulsa E Outros,74.0,2.3,2.0
