Year,Municipality,Population,Mortality_per_1000,Infant_mortality_per_1000,Births_per_1000,Unemployed_total,Average_income,Pharmacies_total,Total_crimes,Marriages_per_1000,Divorces_per_1000
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,840.0,2.6,1.4
2024.0,Agueda,47727.0,11.4,0.0,7.3,1157.0,1280.2,14.0,1420.0,1.4,1.8
2024.0,Aguiar Da Beira,5326.0,23.5,0.0,5.1,82.0,1016.9,2.0,140.0,3.2,1.3
2024.0,Alandroal,4973.0,21.1,0.0,5.8,81.0,1171.4,4.0,91.0,4.8,1.8
2024.0,Albergaria-A-Velha,26171.0,10.2,5.7,6.8,516.0,1349.1,9.0,830.0,4.0,1.6
2024.0,Albufeira,48807.0,8.7,9.5,10.9,2592.0,1216.3,9.0,3819.0,5.9,1.9
2024.0,Alcacer Do Sal,11036.0,15.0,0.0,5.7,182.0,1210.1,5.0,615.0,2.4,1.1
2024.0,Alcanena,12876.0,13.1,11.2,6.9,280.0,1324.3,5.0,358.0,0.7,1.3
2024.0,Alcobaca,57973.0,12.3,0.0,7.5,1171.0,1214.6,16.0,1402.0,4.0,1.7
2024.0,Alcochete,20462.0,8.4,0.0,8.1,403.0,2338.9,5.0,606.0,7.5,2.1
2024.0,Alcoutim,2401.0,24.1,0.0,2.5,33.0,1145.8,2.0,99.0,4.2,0.8
2024.0,Alenquer,49474.0,9.4,6.8,9.0,1371.0,1382.7,13.0,1314.0,3.9,1.5
2024.0,Alfandega Da Fe,4178.0,18.3,0.0,2.6,211.0,1002.3,2.0,110.0,1.4,1.9
2024.0,Alijo,10296.0,13.7,20.0,4.8,507.0,1107.7,8.0,229.0,1.2,1.1
2024.0,Aljezur,6501.0,12.3,0.0,9.0,200.0,1093.1,3.0,354.0,8.7,1.6
2024.0,Aljustrel,8923.0,15.1,0.0,8.3,245.0,1473.4,5.0,307.0,1.3,1.1
2024.0,Almada,183643.0,11.8,9.3,9.5,5578.0,1354.3,49.0,7439.0,2.2,1.6
2024.0,Almeida,5634.0,25.1,0.0,3.0,83.0,1083.5,2.0,280.0,0.9,0.4
2024.0,Almeirim,23087.0,14.8,6.1,7.1,571.0,1235.1,7.0,895.0,3.7,1.7
2024.0,Almodovar,6652.0,20.2,0.0,6.0,134.0,1117.8,2.0,196.0,3.1,0.7
2024.0,Alpiarca,7493.0,14.8,0.0,8.2,173.0,1154.9,3.0,340.0,2.6,1.4
2024.0,Alter Do Chao,3222.0,21.2,0.0,5.3,123.0,1103.3,4.0,112.0,3.7,0.0
