Year,Municipality,Population,Mortality_per_1000,Infant_mortality_per_1000,Births_per_1000,Unemployed_total,Average_income,Pharmacies_total,Crime_type,Crimes,Marriages_per_1000,Divorces_per_1000
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Contra As Pessoas,217.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Contra O Patrimonio,473.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Contra A Vida Em Sociedade,106.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Contra O Estado,7.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Contra Animais Companhia,6.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Legislacao Avulsa E Outros,31.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Total,840.0,2.6,1.4
2024.0,Agueda,47727.0,11.4,0.0,7.3,1157.0,1280.2,14.0,Contra As Pessoas,343.0,1.4,1.8
2024.0,Agueda,47727.0,11.4,0.0,7.3,1157.0,1280.2,14.0,Contra O Patrimonio,581.0,1.4,1.8
2024.0,Agueda,47727.0,11.4,0.0,7.3,1157.0,1280.2,14.0,Contra A Vida Em Sociedade,335.0,1.4,1.8
2024.0,Agueda,47727.0,11.4,0.0,7.3,1157.0,1280.2,14.0,Contra O Estado,68.0,1.4,1.8
2024.0,Agueda,47727.0,11.4,0.0,7.3,1157.0,1280.2,14.0,"Contra A Identidade Cultural, Integridade Pessoal",,1.4,1.8
2024.0,Agueda,47727.0,11.4,0.0,7.3,1157.0,1280.2,14.0,Contra Animais Companhia,7.0,1.4,1.8
2024.0,Agueda,47727.0,11.4,0.0,7.3,1157.0,1280.2,14.0,Legislacao Avulsa E Outros,86.0,1.4,1.8
2024.0,Agueda,47727.0,11.4,0.0,7.3,1157.0,1280.2,14.0,Total,1420.0,1.4,1.8
2024.0,Aguiar Da Beira,5326.0,23.5,0.0,5.1,82.0,1016.9,2.0,Contra As Pessoas,44.0,3.2,1.3
2024.0,Aguiar Da Beira,5326.0,23.5,0.0,5.1,82.0,1016.9,2.0,Contra O Patrimonio,53.0,3.2,1.3
2024.0,Aguiar Da Beira,5326.0,23.5,0.0,5.1,82.0,1016.9,2.0,Contra A Vida Em Sociedade,31.0,3.2,1.3
2024.0,Aguiar Da Beira,5326.0,23.5,0.0,5.1,82.0,1016.9,2.0,Contra O Estado,,3.2,1.3
2024.0,Aguiar Da Beira,5326.0,23.5,0.0,5.1,82.0,1016.9,2.0,"Contra A Identidade Cultural, Integridade Pessoal",,3.2,1.3
2024.0,Aguiar Da Beira,5326.0,23.5,0.0,5.1,82.0,1016.9,2.0,Contra Animais Companhia,0.0,3.2,1.3
2024.0,Aguiar Da Beira,5326.0,23.5,0.0,5.1,82.0,1016.9,2.0,Legislacao Avulsa E Outros,,3.2,1.3
2024.0,Aguiar Da Beira,5326.0,23.5,0.0,5.1,82.0,1016.9,2.0,Total,140.0,3.2,1.3
2024.0,Alandroal,4973.0,21.1,0.0,5.8,81.0,1171.4,4.0,Contra As Pessoas,34.0,4.8,1.8
2024.0,Alandroal,4973.0,21.1,0.0,5.8,81.0,1171.4,4.0,Contra O Patrimonio,37.0,4.8,1.8
2024.0,Alandroal,4973.0,21.1,0.0,5.8,81.0,1171.4,4.0,Contra A Vida Em Sociedade,11.0,4.8,1.8
2024.0,Alandroal,4973.0,21.1,0.0,5.8,81.0,1171.4,4.0,Contra O Estado,4.0,4.8,1.8
2024.0,Alandroal,4973.0,21.1,0.0,5.8,81.0,1171.4,4.0,"Contra A Identidade Cultural, Integridade Pessoal",,4.8,1.8
2024.0,Alandroal,4973.0,21.1,0.0,5.8,81.0,1171.4,4.0,Contra Animais Companhia,0.0,4.8,1.8
2024.0,Alandroal,4973.0,21.1,0.0,5.8,81.0,1171.4,4.0,Legislacao Avulsa E Outros,5.0,4.8,1.8
2024.0,Alandroal,4973.0,21.1,0.0,5.8,81.0,1171.4,4.0,Total,91.0,4.8,1.8
2024.0,Albergaria-A-Velha,26171.0,10.2,5.7,6.8,516.0,1349.1,9.0,Contra As Pessoas,248.0,4.0,1.6
2024.0,Albergaria-A-Velha,26171.0,10.2,5.7,6.8,516.0,1349.1,9.0,Contra O Patrimonio,364.0,4.0,1.6
2024.0,Albergaria-A-Velha,26171.0,10.2,5.7,6.8,516.0,1349.1,9.0,Contra A Vida Em Sociedade,152.0,4.0,1.6
2024.0,Albergaria-A-Velha,26171.0,10.2,5.7,6.8,516.0,1349.1,9.0,Contra O Estado,,4.0,1.6
2024.0,Albergaria-A-Velha,26171.0,10.2,5.7,6.8,516.0,1349.1,9.0,"Contra A Identidade Cultural, Integridade Pessoal",,4.0,1.6
2024.0,Albergaria-A-Velha,26171.0,10.2,5.7,6.8,516.0,1349.1,9.0,Contra Animais Companhia,,4.0,1.6
2024.0,Albergaria-A-Velha,26171.0,10.2,5.7,6.8,516.0,1349.1,9.0,Legislacao Avulsa E Outros,45.0,4.0,1.6
2024.0,Albergaria-A-Velha,26171.0,10.2,5.7,6.8,516.0,1349.1,9.0,Total,830.0,4.0,1.6
2024.0,Albufeira,48807.0,8.7,9.5,10.9,2592.0,1216.3,9.0,Contra As Pessoas,900.0,5.9,1.9
2024.0,Albufeira,48807.0,8.7,9.5,10.9,2592.0,1216.3,9.0,Contra O Patrimonio,2291.0,5.9,1.9
2024.0,Albufeira,48807.0,8.7,9.5,10.9,2592.0,1216.3,9.0,Contra A Vida Em Sociedade,325.0,5.9,1.9
2024.0,Albufeira,48807.0,8.7,9.5,10.9,2592.0,1216.3,9.0,Contra O Estado,60.0,5.9,1.9
2024.0,Albufeira,48807.0,8.7,9.5,10.9,2592.0,1216.3,9.0,"Contra A Identidade Cultural, Integridade Pessoal",4.0,5.9,1.9
2024.0,Albufeira,48807.0,8.7,9.5,10.9,2592.0,1216.3,9.0,Contra Animais Companhia,13.0,5.9,1.9
2024.0,Albufeira,48807.0,8.7,9.5,10.9,2592.0,1216.3,9.0,Legislacao Avulsa E Outros,226.0,5.9,1.9
2024.0,Albufeira,48807.0,8.7,9.5,10.9,2592.0,1216.3,9.0,Total,3819.0,5.9,1.9
2024.0,Alcacer Do Sal,11036.0,15.0,0.0,5.7,182.0,1210.1,5.0,Contra As Pessoas,157.0,2.4,1.1
2024.0,Alcacer Do Sal,11036.0,15.0,0.0,5.7,182.0,1210.1,5.0,Contra O Patrimonio,297.0,2.4,1.1
2024.0,Alcacer Do Sal,11036.0,15.0,0.0,5.7,182.0,1210.1,5.0,Contra A Vida Em Sociedade,93.0,2.4,1.1
2024.0,Alcacer Do Sal,11036.0,15.0,0.0,5.7,182.0,1210.1,5.0,Contra O Estado,13.0,2.4,1.1
2024.0,Alcacer Do Sal,11036.0,15.0,0.0,5.7,182.0,1210.1,5.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.4,1.1
2024.0,Alcacer Do Sal,11036.0,15.0,0.0,5.7,182.0,1210.1,5.0,Contra Animais Companhia,4.0,2.4,1.1
2024.0,Alcacer Do Sal,11036.0,15.0,0.0,5.7,182.0,1210.1,5.0,Legislacao Avulsa E Outros,51.0,2.4,1.1
2024.0,Alcacer Do Sal,11036.0,15.0,0.0,5.7,182.0,1210.1,5.0,Total,615.0,2.4,1.1
2024.0,Alcanena,12876.0,13.1,11.2,6.9,280.0,1324.3,5.0,Contra As Pessoas,96.0,0.7,1.3
2024.0,Alcanena,12876.0,13.1,11.2,6.9,280.0,1324.3,5.0,Contra O Patrimonio,184.0,0.7,1.3
2024.0,Alcanena,12876.0,13.1,11.2,6.9,280.0,1324.3,5.0,Contra A Vida Em Sociedade,44.0,0.7,1.3
2024.0,Alcanena,12876.0,13.1,11.2,6.9,280.0,1324.3,5.0,Contra O Estado,8.0,0.7,1.3
2024.0,Alcanena,12876.0,13.1,11.2,6.9,280.0,1324.3,5.0,"Contra A Identidade Cultural, Integridade Pessoal",,0.7,1.3
2024.0,Alcanena,12876.0,13.1,11.2,6.9,280.0,1324.3,5.0,Contra Animais Companhia,4.0,0.7,1.3
2024.0,Alcanena,12876.0,13.1,11.2,6.9,280.0,1324.3,5.0,Legislacao Avulsa E Outros,21.0,0.7,1.3
2024.0,Alcanena,12876.0,13.1,11.2,6.9,280.0,1324.3,5.0,Total,358.0,0.7,1.3
2024.0,Alcobaca,57973.0,12.3,0.0,7.5,1171.0,1214.6,16.0,Contra As Pessoas,336.0,4.0,1.7
2024.0,Alcobaca,57973.0,12.3,0.0,7.5,1171.0,1214.6,16.0,Contra O Patrimonio,782.0,4.0,1.7
2024.0,Alcobaca,57973.0,12.3,0.0,7.5,1171.0,1214.6,16.0,Contra A Vida Em Sociedade,165.0,4.0,1.7
2024.0,Alcobaca,57973.0,12.3,0.0,7.5,1171.0,1214.6,16.0,Contra O Estado,21.0,4.0,1.7
2024.0,Alcobaca,57973.0,12.3,0.0,7.5,1171.0,1214.6,16.0,"Contra A Identidade Cultural, Integridade Pessoal",,4.0,1.7
2024.0,Alcobaca,57973.0,12.3,0.0,7.5,1171.0,1214.6,16.0,Contra Animais Companhia,6.0,4.0,1.7
2024.0,Alcobaca,57973.0,12.3,0.0,7.5,1171.0,1214.6,16.0,Legislacao Avulsa E Outros,90.0,4.0,1.7
2024.0,Alcobaca,57973.0,12.3,0.0,7.5,1171.0,1214.6,16.0,Total,1402.0,4.0,1.7
2024.0,Alcochete,20462.0,8.4,0.0,8.1,403.0,2338.9,5.0,Contra As Pessoas,146.0,7.5,2.1
2024.0,Alcochete,20462.0,8.4,0.0,8.1,403.0,2338.9,5.0,Contra O Patrimonio,319.0,7.5,2.1
2024.0,Alcochete,20462.0,8.4,0.0,8.1,403.0,2338.9,5.0,Contra A Vida Em Sociedade,67.0,7.5,2.1
2024.0,Alcochete,20462.0,8.4,0.0,8.1,403.0,2338.9,5.0,Contra O Estado,13.0,7.5,2.1
2024.0,Alcochete,20462.0,8.4,0.0,8.1,403.0,2338.9,5.0,"Contra A Identidade Cultural, Integridade Pessoal",,7.5,2.1
2024.0,Alcochete,20462.0,8.4,0.0,8.1,403.0,2338.9,5.0,Contra Animais Companhia,5.0,7.5,2.1
2024.0,Alcochete,20462.0,8.4,0.0,8.1,403.0,2338.9,5.0,Legislacao Avulsa E Outros,55.0,7.5,2.1
2024.0,Alcochete,20462.0,8.4,0.0,8.1,403.0,2338.9,5.0,Total,606.0,7.5,2.1
