01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Âmbito Geográfico,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala ,09. Símbolo,10. Valor
1960,,Portugal,,,,, por 1000 pessoas,,24.1
1960,Alemanha,,,,,, por 1000 pessoas,,17.4
1960,Áustria,,,,,, por 1000 pessoas,,17.9
1960,Bélgica,,,,,, por 1000 pessoas,,16.8
1960,Bulgária,,,,,, por 1000 pessoas,,17.8
1960,Chéquia,,,,,, por 1000 pessoas,,13.4
1960,Chipre,,,,,, por 1000 pessoas,x,
1960,Croácia,,,,,, por 1000 pessoas,,18.4
1960,Dinamarca,,,,,, por 1000 pessoas,,16.6
1960,Eslováquia,,,,,, por 1000 pessoas,,21.7
1960,Eslovénia,,,,,, por 1000 pessoas,,17.6
1960,Espanha,,,,,, por 1000 pessoas,,21.7
1960,Estónia,,,,,, por 1000 pessoas,,16.7
1960,Finlândia,,,,,, por 1000 pessoas,,18.5
1960,França,,,,,, por 1000 pessoas,x,
1960,Grécia,,,,,, por 1000 pessoas,,18.9
1960,Hungria,,,,,, por 1000 pessoas,,14.7
1960,Irlanda,,,,,, por 1000 pessoas,,21.5
1960,Itália,,,,,, por 1000 pessoas,,18.1
1960,Letónia,,,,,, por 1000 pessoas,,16.7
1960,Lituânia,,,,,, por 1000 pessoas,,22.5
1960,Luxemburgo,,,,,, por 1000 pessoas,,16.0
1960,Malta,,,,,, por 1000 pessoas,,26.2
1960,Países Baixos,,,,,, por 1000 pessoas,,20.8
1960,Polónia,,,,,, por 1000 pessoas,,22.6
1960,Portugal,,,,,, por 1000 pessoas,,24.1
1960,Roménia,,,,,, por 1000 pessoas,,19.1
1960,Suécia,,,,,, por 1000 pessoas,,13.7
1961,,Portugal,,,,, por 1000 pessoas,,24.4
1961,Alemanha,,,,,, por 1000 pessoas,,18.0
1961,Áustria,,,,,, por 1000 pessoas,,18.6
1961,Bélgica,,,,,, por 1000 pessoas,,17.3
1961,Bulgária,,,,,, por 1000 pessoas,,17.4
1961,Chéquia,,,,,, por 1000 pessoas,,13.7
1961,Chipre,,,,,, por 1000 pessoas,,26.2
1961,Croácia,,,,,, por 1000 pessoas,,17.8
1961,Dinamarca,,,,,, por 1000 pessoas,,16.6
1961,Eslováquia,,,,,, por 1000 pessoas,,20.8
1961,Eslovénia,,,,,, por 1000 pessoas,,18.2
1961,Espanha,,,,,, por 1000 pessoas,,21.2
1961,Estónia,,,,,, por 1000 pessoas,,16.5
1961,Finlândia,,,,,, por 1000 pessoas,,18.4
1961,França,,,,,, por 1000 pessoas,x,
1961,Grécia,,,,,, por 1000 pessoas,,17.9
1961,Hungria,,,,,, por 1000 pessoas,,14.0
1961,Irlanda,,,,,, por 1000 pessoas,,21.2
1961,Itália,,,,,, por 1000 pessoas,,18.4
1961,Letónia,,,,,, por 1000 pessoas,,16.7
1961,Lituânia,,,,,, por 1000 pessoas,,22.2
1961,Luxemburgo,,,,,, por 1000 pessoas,,16.1
1961,Malta,,,,,, por 1000 pessoas,,23.6
1961,Países Baixos,,,,,, por 1000 pessoas,,21.3
1961,Polónia,,,,,, por 1000 pessoas,,20.9
1961,Portugal,,,,,, por 1000 pessoas,,24.4
1961,Roménia,,,,,, por 1000 pessoas,,17.5
1961,Suécia,,,,,, por 1000 pessoas,,13.9
